PA_voie;PA_numérobis;COORD_X;COORD_Y
DAUM;183;603551.514087;126901.960847
DAUM;184;603554.760558;126899.463562
DAUM;185;603559.505399;126896.341955
DAUM;186;603567.746440;126890.348471
DIJO;1;603630.927755;126120.435457
DIJO;2;603614.195944;126106.825253
DIJO;3;603608.951645;126102.455004
DIJO;4;603604.206804;126098.459347
DIJO;5;603599.087369;126094.213963
DIJO;6;603594.966849;126109.697131
DIJO;7;603600.211147;126114.067380
DIJO;8;603604.955989;126118.187900
DIJO;9;603609.201374;126121.559235
DIJO;10;603613.321894;126125.305163
ERAR;1;603546.894109;127233.475451
ERAR;2;603562.751870;127241.092171
ERAR;3;603565.374019;127247.085656
ERAR;4;603573.240468;127249.083484
ERAR;5;603574.114517;127253.578597
ERAR;6;603578.609631;127253.204004
ERAR;7;603586.476079;127262.943416
ERAR;8;603591.470649;127262.943416
ERAR;9;603599.711690;127269.186629
ERAR;10;603602.833297;127275.180114
ERAR;11;603608.452188;127275.679571
ERAR;12;603615.944044;127281.423326
ERAR;13;603618.441329;127286.792490
ERAR;14;603623.810492;127287.291947
ERAR;15;603627.556420;127293.410295
ERAR;16;603633.425040;127294.534074
GERT;1;603784.635656;126136.542946
GERT;2;603784.885385;126131.298647
GERT;3;603779.765950;126126.928398
GERT;4;603774.771380;126122.932742
GERT;5;603768.902760;126118.187900
GERT;6;603764.657375;126114.441972
GERT;7;603759.413076;126110.446316
GERT;8;603754.168777;126106.200931
KESS;1;603570.243726;126089.593985
KESS;2;603563.376191;126083.850229
KESS;3;603558.881078;126079.979437
KESS;4;603554.011372;126076.233509
KESS;5;603549.765987;126072.362717
KESS;6;603544.771417;126068.367061
KESS;7;603535.656326;126060.750341
KESS;8;603531.161213;126056.754685
KESS;9;603526.041778;126052.759029
KESS;10;603521.796393;126049.137965
KESS;11;603517.426144;126045.267174
KESS;12;603512.681303;126041.646110
KESS;13;603508.061325;126037.650454
KESS;14;603503.566212;126033.904526
KESS;15;603498.946234;126030.158598
KESS;16;603494.451121;126026.038078
KESS;17;603489.581415;126022.292150
KESS;18;603485.211166;126018.546222
KESS;19;603480.466324;126014.675430
KESS;20;603475.971211;126010.679774
KESS;21;603471.101505;126007.058711
KESS;22;603461.986414;125999.566855
KESS;23;603457.116708;125995.321470
KESS;24;603452.621595;125991.700407
